META,inlet_choked,dpump_only_choked_inlet_the_betterOne
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,268022,50,0,1189.75, 23.13,1010.68,NaN,NaN
DATA,269023,50,0,1200.61, 23.13,1010.67,NaN,NaN
DATA,270022,50,0,1211.47, 23.13,1010.69,NaN,NaN
DATA,271023,50,0,1222.33, 23.13,1010.68,NaN,NaN
DATA,272022,50,0,1238.62, 23.13,1010.65,NaN,NaN
DATA,273022,50,0,1249.48, 23.13,1010.67,NaN,NaN
DATA,274023,50,0,1260.35, 23.13,1010.68,NaN,NaN
DATA,275022,50,0,1276.64, 23.13,1010.68,NaN,NaN
DATA,276023,50,0,1287.50, 23.13,1010.69,NaN,NaN
DATA,277022,50,0,1298.36, 23.13,1010.69,NaN,NaN
DATA,278023,50,0,1314.65, 23.13,1010.68,NaN,NaN
DATA,279022,50,0,1330.94, 23.13,1010.68,NaN,NaN
DATA,280023,50,0,1336.37, 23.13,1010.69,NaN,NaN
DATA,281023,50,0,1352.67, 23.13,1010.68,NaN,NaN
DATA,282022,50,0,1363.53, 23.13,1010.69,NaN,NaN
DATA,283023,50,0,1374.39, 23.12,1010.69,NaN,NaN
DATA,284022,50,0,1390.68, 23.12,1010.71,NaN,NaN
DATA,285023,50,0,1401.54, 23.12,1010.72,NaN,NaN
DATA,286022,50,0,1412.40, 23.12,1010.69,NaN,NaN
DATA,287023,50,0,1428.70, 23.12,1010.68,NaN,NaN
DATA,288022,50,0,1439.56, 23.12,1010.69,NaN,NaN
DATA,289022,50,0,1450.42, 23.12,1010.67,NaN,NaN
DATA,290023,50,0,1466.71, 23.12,1010.69,NaN,NaN
DATA,291022,50,0,1477.57, 23.11,1010.67,NaN,NaN
DATA,292023,50,0,1488.43, 23.12,1010.66,NaN,NaN
DATA,293022,50,0,1499.29, 23.12,1010.67,NaN,NaN
DATA,294023,50,0,1515.59, 23.12,1010.67,NaN,NaN
DATA,295022,50,0,1526.45, 23.11,1010.67,NaN,NaN
DATA,296023,50,0,1537.31, 23.12,1010.66,NaN,NaN
DATA,297023,50,0,1553.60, 23.12,1010.67,NaN,NaN
DATA,298022,50,0,1564.46, 23.12,1010.70,NaN,NaN
DATA,299023,50,0,1575.32, 23.12,1010.67,NaN,NaN
DATA,300022,50,0,1591.62, 23.12,1010.68,NaN,NaN
DATA,301023,50,0,1602.48, 23.12,1010.66,NaN,NaN
DATA,302022,50,0,1613.34, 23.12,1010.66,NaN,NaN
